Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd
Anemone hupehensis;Leipzig;Ane_hup_Lei;2021;NA;125;NA;222;NA;286;NA;209;NA;NA;293;NA;NA
Anemone hupehensis;Halle;Ane_hup_Hal;2021;NA;NA;187;216;99;244;57;287;307;230;230;5;314
Anemone sylvestris;Jena;Ane_syl_Jen;2021;NA;NA;131;131;100;131;1;153;153;237;329;95;356
Anemone sylvestris;Leipzig;Ane_syl_Lei;2021;76;104;132;69;NA;160;28;167;NA;230;239;NA;NA
Anemone sylvestris;Halle;Ane_syl_Hal;2021;NA;NA;131;131;90;236;105;167;182;5;307;99;342
Anemone transsilvanica;Leipzig;Ane_tra_Lei;2021;76;104;NA;69;NA;97;NA;NA;NA;230;244;NA;NA
Anemone transsilvanica;Halle;Ane_tra_Hal;2021;76;97;76;97;75;118;42;NA;NA;230;230;5;335
Angelica archangelica;Jena;Ang_arc_Jen;2021;NA;NA;160;160;50;174;14;195;237;181;216;95;244
Angelica archangelica;Halle;Ang_arc_Hal;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Antennaria dioica;Jena;Ant_dio_Jen;2021;NA;NA;131;146;80;153;22;188;188;307;349;30;356
Anthericum ramosum;Leipzig;Ant_ram_Lei;2021;76;132;NA;181;NA;NA;NA;202;NA;239;251;NA;NA
Aquilegia chrysantha;Leipzig;Aqu_chr_Lei;2021;NA;76;132;146;NA;NA;NA;174;NA;230;244;NA;NA
Aquilegia vulgaris;Halle;Aqu_vul_Hal;2021;NA;NA;131;153;100;174;43;182;236;145;342;95;356
Aquilegia vulgaris;Jena;Aqu_vul_Jen;2021;NA;NA;139;153;80;167;28;13;293;13;293;80;293
Arctostaphylos uva-ursi;Jena;Arc_uva_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;104;349;75;356
Armoracia rusticana;Halle;Arm_rus_Hal;2021;NA;NA;153;153;99;161;8;NA;NA;174;299;75;314
Armoracia rusticana;Jena;Arm_rus_Jen;2021;NA;NA;153;160;50;167;14;NA;NA;188;329;90;356
Arnica longifolia;Leipzig;Arn_lon_Lei;2021;89;111;NA;167;NA;202;NA;181;NA;222;239;NA;NA
Arnica longifolia;Jena;Arn_lon_Jen;2021;90;97;153;174;60;258;105;181;258;216;266;60;273
Arrhenatherum elatius;Halle;Arr_ela_Hal;2021;NA;125;161;161;100;167;6;187;201;161;314;90;335
Artemisia absinthium;Jena;Art_abs_Jen;2021;13;NA;209;230;90;244;35;258;356;188;356;95;356
Artemisia absinthium;Halle;Art_abs_Hal;2021;NA;NA;216;216;100;236;20;265;307;5;5;99;335
Arum italicum;Jena;Aru_ita_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;160;167;60;174
Arum italicum;Halle;Aru_ita_Hal;2021;5;5;153;153;100;153;1;201;257;161;174;90;182
Arum maculatum;Leipzig;Aru_mac_Lei;2021;62;83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arum maculatum;Halle;Aru_mac_Hal;2021;5;34;131;138;90;145;14;201;236;153;167;99;182
Asarum canadense;Leipzig;Asa_can_Lei;2021;76;104;125;139;NA;160;35;167;NA;239;55;NA;NA
Asarum europaeum;Leipzig;Asa_eur_Lei;2021;83;118;NA;NA;NA;NA;NA;NA;NA;239;265;NA;NA
Asarum europaeum;Jena;Asa_eur_Jen;2021;NA;NA;111;111;80;139;28;174;174;216;321;90;356
Asarum europaeum;Halle;Asa_eur_Hal;2021;NA;NA;97;97;50;104;7;153;174;NA;NA;NA;NA
Asphodelus albus;Jena;Asp_alb_Jen;2021;13;NA;139;146;40;167;28;181;251;188;244;90;251
Asphodelus albus;Halle;Asp_alb_Hal;2021;NA;NA;138;145;75;153;15;187;216;161;182;99;216
Atropa belladonna;Halle;Atr_bel_Hal;2021;76;NA;153;167;75;187;34;201;265;153;292;85;299
Aurinia saxatilis;Halle;Aur_sax_Hal;2021;34;69;104;131;100;153;49;167;236;5;349;60;356
Bergenia purpurascens;Jena;Ber_pur_Jen;2021;NA;NA;97;118;90;153;56;167;237;202;335;90;356
Bergenia purpurascens;Leipzig;Ber_pur_Lei;2021;89;118;89;104;NA;132;43;153;NA;239;55;NA;NA
Stachys officinalis;Jena;Sta_off_Jen;2021;55;NA;181;209;80;223;42;13;300;13;293;60;300
Bistorta officinalis;Halle;Bis_off_Hal;2021;NA;NA;125;145;100;222;97;182;236;153;328;99;349
Bistorta officinalis;Jena;Bis_off_Jen;2021;NA;NA;139;153;100;188;49;174;195;174;293;90;329
Bromus erectus;Halle;Bro_ere_Hal;2021;NA;125;161;161;75;167;6;187;216;167;292;60;335
Brunnera macrophylla;Halle;Bru_mac_Hal;2021;62;NA;97;118;100;153;56;NA;NA;13;20;90;356
Brunnera macrophylla;Jena;Bru_mac_Jen;2021;NA;NA;104;126;80;160;56;174;258;13;342;95;356
Bunias orientalis;Jena;Bun_ori_Jen;2021;NA;69;146;153;80;188;42;216;356;202;329;90;356
Bunias orientalis;Leipzig;Bun_ori_Lei;2021;62;104;NA;NA;NA;NA;NA;NA;NA;244;286;NA;NA
Bunias orientalis;Halle;Bun_ori_Hal;2021;5;69;138;145;99;161;23;194;222;13;13;99;356
Cakile maritima;Halle;Cak_mar_Hal;2021;104;111;153;161;90;272;119;194;299;174;287;99;299
Calla palustris;Halle;Cal_pal_Hal;2021;NA;NA;145;161;75;230;85;216;328;167;287;99;307
Calla palustris;Jena;Cal_pal_Jen;2021;NA;NA;146;209;60;237;91;195;300;160;286;90;307
Caltha palustris;Leipzig;Cal_pal_Lei;2021;55;111;NA;125;NA;139;NA;160;NA;244;265;NA;NA
Caltha palustris;Halle;Cal_pal_Hal;2021;5;NA;118;118;99;131;13;161;161;161;287;99;342
Camassia cusickii;Halle;Cam_cus_Hal;2021;NA;62;131;138;75;153;22;182;187;145;187;99;216
Camassia cusickii;Jena;Cam_cus_Jen;2021;34;NA;139;146;70;153;14;181;216;174;209;90;216
Campanula rotundifolia;Halle;Cam_rot_Hal;2021;76;83;187;194;90;279;92;236;287;236;299;99;342
Campanula rotundifolia;Jena;Cam_rot_Jen;2021;NA;NA;160;181;50;237;77;202;266;223;258;95;273
Campanula rotundifolia;Leipzig;Cam_rot_Lei;2021;125;139;NA;167;NA;174;NA;NA;NA;NA;NA;NA;NA
Carex sylvatica;Halle;Car_syl_Hal;2021;62;76;153;167;90;167;14;194;216;5;299;99;356
Centaurea cineraria;Leipzig;Cen_cin_Lei;2021;62;111;NA;167;NA;181;NA;181;NA;230;239;NA;NA
Centaurea jacea;Jena;Cen_jac_Jen;2021;76;76;188;202;40;251;63;266;266;13;356;60;356
Centaurea scabiosa;Jena;Cen_sca_Jen;2021;76;97;181;195;30;273;92;202;307;13;349;50;356
Centranthus ruber;Halle;Cen_rub_Hal;2021;NA;NA;161;167;100;279;118;194;272;174;299;90;299
Centranthus ruber;Jena;Cen_rub_Jen;2021;13;NA;160;167;90;230;70;209;273;237;342;70;356
Chelidonium majus;Halle;Che_maj_Hal;2021;NA;NA;125;131;100;292;167;167;292;5;342;90;356
Chelidonium majus;Jena;Che_maj_Jen;2021;13;NA;126;131;70;251;125;160;279;160;216;40;356
Clematis integrifolia;Halle;Cle_int_Hal;2021;NA;97;153;161;99;236;83;182;299;236;244;5;307
Clematis recta;Jena;Cle_rec_Jen;2021;NA;NA;160;174;90;202;42;237;356;251;329;95;356
Clematis recta;Halle;Cle_rec_Hal;2021;NA;NA;161;174;99;265;104;230;299;230;244;5;307
Clematis stans;Leipzig;Cle_sta_Lei;2021;89;125;258;272;NA;293;35;300;NA;244;293;NA;NA
Colchicum autumnale;Leipzig;Col_aut_Lei;2021;55;97;NA;258;NA;286;NA;NA;NA;167;174;NA;NA
Colchicum autumnale;Jena;Col_aut_Jen;2021;13;NA;244;258;95;266;22;NA;NA;131;174;80;202
Colchicum autumnale;Halle;Col_aut_Hal;2021;NA;NA;250;257;99;265;15;NA;NA;153;167;90;182
Comarum palustre;Jena;Com_pal_Jen;2021;NA;NA;174;174;50;174;1;202;216;286;300;20;314
Comarum palustre;Halle;Com_pal_Hal;2021;69;NA;145;153;85;161;16;194;279;174;321;99;328
Conium maculatum;Jena;Con_mac_Jen;2021;13;55;167;174;90;188;21;209;258;195;209;90;223
Conium maculatum;Halle;Con_mac_Hal;2021;NA;NA;167;174;80;216;49;222;236;174;230;99;342
Convallaria majalis;Halle;Con_maj_Hal;2021;NA;NA;131;138;100;145;14;250;321;279;314;95;321
Convallaria majalis;Leipzig;Con_maj_Lei;2021;111;NA;NA;139;NA;160;NA;216;NA;222;239;NA;NA
Convallaria majalis;Jena;Con_maj_Jen;2021;NA;NA;139;153;90;160;21;195;300;167;286;70;300
Corydalis solida;Halle;Cor_sol_Hal;2021;NA;NA;111;111;1;118;7;NA;NA;131;145;50;153
Crocus speciosus;Jena;Cro_spe_Jen;2021;13;NA;279;293;45;293;14;174;181;126;153;90;160
Crocus speciosus;Halle;Cro_spe_Hal;2021;NA;55;265;265;70;292;27;NA;NA;131;153;75;299
Crocus vernus;Leipzig;Cro_ver_Lei;2021;55;76;NA;76;NA;97;NA;NA;NA;125;132;NA;NA
Cuphea ignea;Leipzig;Cup_ign_Lei;2021;NA;NA;NA;181;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cyclamen coum;Jena;Cyc_cou_Jen;2021;244;20;13;69;90;356;343;167;181;118;160;80;181
Cyclamen coum;Leipzig;Cyc_cou_Lei;2021;244;251;NA;55;NA;89;NA;NA;NA;132;139;NA;NA
Cyclamen hederifolium;Leipzig;Cyc_hed_Lei;2021;NA;NA;NA;239;NA;NA;NA;NA;NA;132;146;NA;NA
Dactylis glomerata;Halle;Dac_glo_Hal;2021;55;NA;161;161;100;167;6;194;236;174;356;85;356
Dactylorhiza majalis;Jena;Dac_maj_Jen;2021;118;126;139;153;90;167;28;NA;NA;NA;NA;NA;NA
Daphne laureola;Halle;Dap_lau_Hal;2021;20;NA;27;83;99;111;84;182;279;5;161;5;356
Dianthus carthusianorum;Halle;Dia_car_Hal;2021;NA;NA;161;182;90;257;96;236;272;216;265;95;335
Dianthus deltoides;Halle;Dia_del_Hal;2021;83;97;167;182;75;236;69;230;287;5;27;99;349
Dianthus superbus;Jena;Dia_sup_Jen;2021;97;111;209;223;40;244;35;251;314;13;34;90;329
Dianthus superbus;Leipzig;Dia_sup_Lei;2021;83;111;NA;160;NA;181;NA;181;NA;251;55;NA;NA
Dictamnus albus;Halle;Dic_alb_Hal;2021;NA;NA;153;161;99;167;14;194;250;236;335;99;335
Dictamnus albus;Jena;Dic_alb_Jen;2021;NA;NA;160;167;60;174;14;230;230;230;273;90;314
Dictamnus albus;Leipzig;Dic_alb_Lei;2021;104;132;160;167;NA;174;14;209;NA;244;258;NA;NA
Doronicum pardalianches;Halle;Dor_par_Hal;2021;34;55;138;145;100;167;29;174;182;174;257;80;307
Dryas octopetala;Halle;Dry_oct_Hal;2021;NA;NA;125;145;50;236;111;5;299;5;5;99;356
Dryas octopetala;Leipzig;Dry_oct_Lei;2021;76;104;NA;146;NA;153;NA;160;NA;251;300;NA;NA
Dryas octopetala;Jena;Dry_oct_Jen;2021;20;NA;139;146;30;153;14;167;237;195;321;95;356
Epilobium angustifolium;Halle;Epi_ang_Hal;2021;NA;NA;201;201;1;201;1;NA;NA;187;216;95;222
Epilobium angustifolium;Jena;Epi_ang_Jen;2021;69;83;174;181;10;244;70;NA;NA;195;300;95;356
Eranthis hyemalis;Halle;Era_hye_Hal;2021;NA;NA;55;55;100;69;14;131;145;138;138;25;161
Eranthis hyemalis;Leipzig;Era_hye_Lei;2021;NA;69;NA;55;NA;69;NA;125;NA;132;139;NA;NA
Eranthis hyemalis;Jena;Era_hye_Jen;2021;NA;NA;69;69;10;69;1;131;139;126;146;90;153
Erica tetralix;Jena;Eri_tet_Jen;2021;34;34;167;209;60;230;63;13;356;13;300;90;356
Eryngium campestre;Halle;Ery_cam_Hal;2021;NA;NA;182;216;90;236;54;230;265;201;257;99;307
Eryngium campestre;Leipzig;Ery_cam_Lei;2021;104;132;181;195;NA;230;49;216;NA;239;251;NA;NA
Eryngium maritimum;Halle;Ery_mar_Hal;2021;97;111;182;216;50;314;132;257;321;5;335;99;335
Eupatorium cannabinum;Leipzig;Eup_can_Lei;2021;118;139;NA;202;NA;NA;NA;230;NA;244;286;NA;NA
Eupatorium cannabinum;Jena;Eup_can_Jen;2021;NA;NA;188;216;90;251;63;230;335;251;329;95;356
Eupatorium cannabinum;Halle;Eup_can_Hal;2021;NA;NA;187;201;99;230;43;236;307;230;307;80;314
Filipendula vulgaris;Leipzig;Fil_vul_Lei;2021;62;104;153;160;NA;181;28;181;NA;230;244;NA;NA
Fragaria vesca;Leipzig;Fra_ves_Lei;2021;55;89;125;139;NA;NA;NA;160;NA;202;222;NA;NA
Fragaria vesca;Jena;Fra_ves_Jen;2021;NA;NA;146;153;50;160;14;188;188;13;13;70;356
Fragaria vesca;Halle;Fra_ves_Hal;2021;34;NA;97;104;75;167;70;NA;NA;5;20;75;356
Fuchsia magellanica;Halle;Fuc_mag_Hal;2021;111;NA;182;216;100;335;153;250;328;250;250;5;342
Galanthus ikariae;Halle;Gal_ika_Hal;2021;5;55;55;62;100;76;21;145;153;131;138;50;153
Galanthus nivalis;Leipzig;Gal_niv_Lei;2021;NA;NA;NA;55;NA;83;NA;NA;NA;125;132;NA;NA
Galanthus nivalis;Jena;Gal_niv_Jen;2021;NA;NA;55;55;95;76;21;160;174;126;146;90;160
Galanthus nivalis;Halle;Gal_niv_Hal;2021;5;NA;55;69;100;83;28;NA;NA;NA;NA;NA;NA
Galanthus plicatus;Halle;Gal_pli_Hal;2021;5;55;55;69;100;97;42;NA;NA;138;153;75;161
Galega officinalis;Jena;Gal_off_Jen;2021;13;NA;174;181;70;237;63;209;300;216;300;75;300
Galega officinalis;Halle;Gal_off_Hal;2021;NA;5;174;182;95;250;76;216;299;5;13;95;335
Galium mollugo;Leipzig;Gal_mol_Lei;2021;76;104;153;167;NA;188;35;195;NA;222;55;NA;NA
Galium mollugo;Jena;Gal_mol_Jen;2021;55;69;167;181;50;202;35;NA;NA;13;356;80;356
Galium odoratum;Halle;Gal_odo_Hal;2021;34;NA;125;138;75;145;20;NA;NA;5;5;99;153
Galium odoratum;Jena;Gal_odo_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;356;30;356
Gaultheria shallon;Leipzig;Gau_sha_Lei;2021;69;NA;139;153;NA;181;42;188;NA;55;NA;NA;NA
Gaultheria shallon;Jena;Gau_sha_Jen;2021;69;153;160;167;60;188;28;202;251;195;335;50;356
Genista tinctoria;Halle;Gen_tin_Hal;2021;NA;NA;174;182;90;222;48;236;265;5;27;90;356
Genista tinctoria;Leipzig;Gen_tin_Lei;2021;76;118;NA;181;NA;195;NA;216;NA;239;272;NA;NA
Genista tinctoria;Jena;Gen_tin_Jen;2021;NA;NA;167;174;50;188;21;223;266;20;321;5;356
Gentiana cruciata;Jena;Gen_cru_Jen;2021;NA;NA;202;202;10;202;1;244;321;209;307;90;356
Gentiana lutea;Leipzig;Gen_lut_Lei;2021;89;139;NA;NA;NA;NA;NA;NA;NA;222;230;NA;NA
Gentiana lutea;Jena;Gen_lut_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gentiana lutea;Jena;Gen_lut_Jen;2021;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gentiana tibetica;Leipzig;Gen_tib_Lei;2021;111;139;NA;222;NA;239;NA;244;NA;239;251;NA;NA
Geranium sanguineum;Leipzig;Ger_san_Lei;2021;76;111;139;153;NA;181;42;188;NA;230;251;NA;NA
Geranium sanguineum;Jena;Ger_san_Jen;2021;NA;NA;139;167;50;307;168;195;273;13;293;80;307
Geum rivale;Leipzig;Geu_riv_Lei;2021;NA;104;132;139;NA;167;35;146;NA;222;230;NA;NA
Geum rivale;Jena;Geu_riv_Jen;2021;NA;NA;118;131;80;293;175;174;237;13;349;90;356
Geum rivale;Halle;Geu_riv_Hal;2021;34;55;97;145;90;299;202;174;299;5;27;50;356
Geum urbanum;Halle;Geu_urb_Hal;2021;55;NA;145;145;50;174;29;182;287;13;13;95;356
Glechoma hederacea;Jena;Gle_hed_Jen;2021;69;76;111;126;90;160;49;174;174;209;329;90;356
Globularia cordifolia;Jena;Glo_cor_Jen;2021;NA;NA;131;146;80;160;29;181;181;307;356;60;356
Globularia cordifolia;Leipzig;Glo_cor_Lei;2021;76;118;NA;146;NA;160;NA;167;NA;222;NA;NA;NA
Glycyrrhiza glabra;Jena;Gly_gla_Jen;2021;NA;NA;188;188;30;188;1;NA;NA;237;314;95;356
Glycyrrhiza glabra;Halle;Gly_gla_Hal;2021;NA;NA;167;187;99;201;34;201;299;201;299;60;314
Gratiola officinalis;Halle;Gra_off_Hal;2021;34;NA;153;167;99;222;69;236;299;174;292;99;299
Gratiola officinalis;Jena;Gra_off_Jen;2021;NA;NA;167;167;50;223;56;258;300;223;266;90;273
Gunnera manicata;Leipzig;Gun_man_Lei;2021;111;153;NA;153;NA;202;NA;209;NA;239;NA;NA;NA
Gunnera manicata;Jena;Gun_man_Jen;2021;NA;NA;153;153;40;167;14;160;293;237;237;5;293
Gunnera manicata;Halle;Gun_man_Hal;2021;97;NA;153;153;90;161;8;230;292;279;287;5;307
Helianthemum nummularium;Leipzig;Hel_num_Lei;2021;69;104;NA;146;NA;167;NA;167;NA;239;55;NA;NA
Helianthemum nummularium;Halle;Hel_num_Hal;2021;34;13;145;161;95;349;204;5;307;5;5;80;356
Helianthemum nummularium;Jena;Hel_num_Jen;2021;NA;NA;139;160;20;307;168;174;342;216;356;80;356
Helianthemum nummularium subsp. glabrum;Jena;Hel_num_gla_Jen;2021;13;13;NA;NA;NA;NA;NA;13;20;13;20;40;34
Helichrysum arenarium;Jena;Hel_are_Jen;2021;20;NA;188;216;80;307;119;230;356;13;342;70;356
Helleborus niger;Leipzig;Hel_nig_Lei;2021;NA;NA;62;83;NA;125;63;NA;NA;230;244;NA;NA
Helleborus niger;Jena;Hel_nig_Jen;2021;13;NA;20;69;90;111;91;160;167;13;307;70;356
Helleborus orientalis;Halle;Hel_ori_Hal;2021;20;NA;55;83;99;118;63;153;161;5;20;90;356
Helleborus orientalis;Jena;Hel_ori_Jen;2021;NA;13;69;76;60;118;49;153;167;13;34;70;356
Helleborus viridis;Leipzig;Hel_vir_Lei;2021;NA;76;NA;NA;NA;NA;NA;NA;NA;167;181;NA;NA
Helleborus viridis;Halle;Hel_vir_Hal;2021;34;34;55;83;95;104;49;161;167;174;321;99;342
Hemerocallis dumortieri;Leipzig;Hem_dum_Lei;2021;55;132;NA;153;NA;181;NA;209;NA;239;258;NA;NA
Hemerocallis fulva;Jena;Hem_ful_Jen;2021;13;NA;174;181;30;202;28;NA;NA;188;307;90;356
Hemerocallis fulva;Halle;Hem_ful_Hal;2021;NA;NA;182;182;75;201;19;NA;NA;153;321;99;342
Anemone hepatica;Jena;Ane_hep_Jen;2021;NA;NA;76;111;80;126;50;146;153;118;118;10;118
Hibiscus moschatus;Halle;Hib_mos_Hal;2021;138;153;230;250;90;257;27;279;299;167;299;95;307
Hibiscus moschatus;Jena;Hib_mos_Jen;2021;NA;NA;273;273;10;279;6;13;90;244;307;80;356
Hibiscus moschatus;Leipzig;Hib_mos_Lei;2021;160;174;265;272;NA;286;21;NA;NA;251;272;NA;NA
Homogyne sylvestris;Jena;Hom_syl_Jen;2021;20;97;131;146;100;153;22;167;195;13;356;60;356
Honckenya peploides;Halle;Hon_pep_Hal;2021;97;104;145;161;50;194;49;NA;NA;167;279;99;299
Humulus lupulus;Leipzig;Hum_lup_Lei;2021;76;118;NA;NA;NA;NA;NA;NA;NA;222;239;NA;NA
Humulus lupulus;Jena;Hum_lup_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Humulus lupulus;Halle;Hum_lup_Hal;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;174;299;75;299
Hyacinthoides non-scripta;Halle;Hya_non_Hal;2021;55;76;131;145;99;153;22;187;194;161;187;99;194
Hydrocotyle vulgaris;Jena;Hyd_vul_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;244;300;80;314
Hydrocotyle vulgaris;Leipzig;Hyd_vul_Lei;2021;NA;125;NA;NA;NA;NA;NA;NA;NA;244;258;NA;NA
Hypericum olympicum;Jena;Hyp_oly_Jen;2021;20;NA;160;167;30;174;14;202;335;251;335;5;356
Hypericum olympicum;Halle;Hyp_oly_Hal;2021;NA;5;161;167;50;335;174;222;349;13;342;75;356
Hypericum olympicum;Leipzig;Hyp_oly_Lei;2021;NA;104;NA;167;NA;188;NA;195;NA;244;293;NA;NA
Hypericum perforatum;Halle;Hyp_per_Hal;2021;NA;5;167;174;95;250;83;236;335;236;314;95;335
Hypericum perforatum;Jena;Hyp_per_Jen;2021;NA;NA;174;181;50;209;35;230;279;216;342;95;356
Iberis sempervirens;Halle;Ibe_sem_Hal;2021;NA;NA;97;125;100;145;48;161;161;5;5;5;356
Iberis sempervirens;Leipzig;Ibe_sem_Lei;2021;NA;NA;89;118;NA;160;71;153;NA;244;55;NA;NA
Iberis sempervirens;Jena;Ibe_sem_Jen;2021;NA;NA;104;131;100;160;56;188;195;188;188;5;307
Iris pseudacorus;Jena;Iri_pse_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;195;300;90;300
Iris pseudacorus;Halle;Iri_pse_Hal;2021;NA;NA;161;161;100;167;6;265;287;13;314;95;321
Iris pseudacorus;Leipzig;Iri_pse_Lei;2021;69;125;NA;160;NA;174;NA;216;NA;244;258;NA;NA
Knautia arvensis;Jena;Kna_arv_Jen;2021;69;90;160;195;30;209;49;209;209;13;321;80;356
Lamium album;Halle;Lam_alb_Hal;2021;NA;NA;111;131;100;328;217;194;356;5;13;95;356
Lamium album;Jena;Lam_alb_Jen;2021;NA;NA;126;153;50;335;209;188;266;13;13;90;356
Lamium galeobdolon;Halle;Lam_gal_Hal;2021;76;5;NA;NA;NA;NA;NA;NA;NA;13;292;5;356
Lathyrus pratensis;Jena;Lat_pra_Jen;2021;13;90;160;174;30;216;56;202;266;188;342;90;356
Lathyrus vernus;Jena;Lat_ver_Jen;2021;NA;NA;111;126;50;131;20;160;174;209;273;80;286
Lathyrus vernus;Leipzig;Lat_ver_Lei;2021;69;97;111;125;NA;139;28;146;NA;239;251;NA;NA
Lathyrus vernus;Halle;Lat_ver_Hal;2021;NA;NA;97;118;50;138;41;161;167;5;307;99;342
Lavandula angustifolia;Leipzig;Lav_ang_Lei;2021;76;104;167;181;NA;222;55;222;NA;244;55;NA;NA
Lavandula angustifolia;Jena;Lav_ang_Jen;2021;NA;NA;181;195;60;216;35;230;230;13;286;40;356
Lavandula angustifolia;Halle;Lav_ang_Hal;2021;NA;NA;182;187;95;216;34;5;335;5;5;99;356
Leonurus cardiaca;Leipzig;Leo_car_Lei;2021;62;111;NA;181;NA;NA;NA;202;NA;239;251;NA;NA
Leonurus cardiaca;Jena;Leo_car_Jen;2021;NA;NA;167;181;40;237;70;230;266;216;223;5;266
Leonurus cardiaca;Halle;Leo_car_Hal;2021;62;NA;167;182;90;222;55;222;299;145;335;95;335
Leucanthemum vulgare;Halle;Leu_vul_Hal;2021;NA;125;145;161;99;182;37;187;194;182;216;90;356
Leucojum aestivum;Halle;Leu_aes_Hal;2021;NA;NA;125;131;100;138;13;NA;NA;NA;NA;NA;NA
Leucojum vernum;Halle;Leu_ver_Hal;2021;NA;NA;55;69;100;83;28;138;161;138;161;90;167
Leucojum vernum;Leipzig;Leu_ver_Lei;2021;NA;NA;NA;76;NA;89;NA;NA;NA;132;139;NA;NA
Linum perenne;Jena;Lin_per_Jen;2021;20;34;139;153;50;258;119;188;356;13;329;70;356
Linum usitatissimum;Leipzig;Lin_usi_Lei;2021;132;146;167;174;NA;188;21;195;NA;222;230;NA;NA
Lotus corniculatus;Halle;Lot_cor_Hal;2021;NA;125;145;161;95;250;105;182;299;182;335;99;356
Lotus maritimus;Jena;Lot_mar_Jen;2021;NA;NA;160;160;30;216;56;230;300;13;356;95;356
Lunaria rediviva;Halle;Lun_red_Hal;2021;76;NA;125;131;99;194;69;201;287;13;349;95;356
Lupinus polyphyllus;Halle;Lup_pol_Hal;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lupinus polyphyllus;Leipzig;Lup_pol_Lei;2021;62;97;146;160;NA;174;28;181;NA;230;244;NA;NA
Lysichiton americanus;Leipzig;Lys_ame_Lei;2021;76;118;NA;NA;NA;NA;NA;NA;NA;230;244;NA;NA
Lysichiton americanus;Jena;Lys_ame_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lysichiton camtschatcensis;Halle;Lys_cam_Hal;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;182;299;99;299
Lysichiton camtschatcensis;Jena;Lys_cam_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;174;223;90;307
Papaver grande;Halle;Pap_gra_Hal;2021;76;97;NA;NA;NA;NA;NA;NA;NA;174;335;95;342
Medicago falcata;Halle;Med_fal_Hal;2021;NA;125;167;182;90;265;98;287;299;250;335;99;356
Mentha longifolia;Halle;Men_lon_Hal;2021;76;83;187;201;90;236;49;244;299;182;299;99;307
Menyanthes trifoliata;Halle;Men_tri_Hal;2021;NA;NA;125;131;90;153;28;182;236;174;321;99;328
Menyanthes trifoliata;Leipzig;Men_tri_Lei;2021;118;139;NA;139;NA;153;NA;167;NA;222;239;NA;NA
Menyanthes trifoliata;Jena;Men_tri_Jen;2021;NA;NA;139;146;50;153;14;181;209;216;293;80;307
Mercurialis perennis;Jena;Mer_per_Jen;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;167;167;10;167
Myriophyllum aquaticum;Leipzig;Myr_aqu_Lei;2021;132;153;NA;NA;NA;NA;NA;NA;NA;239;NA;NA;NA
Narcissus pseudonarcissus;Halle;Nar_pse_Hal;2021;5;NA;97;97;100;118;21;NA;NA;153;167;75;216
Oenothera biennis;Jena;Oen_bie_Jen;2021;69;76;167;188;50;237;70;13;279;13;13;80;356
Oenothera fruticosa;Halle;Oen_fru_Hal;2021;97;NA;174;174;100;182;8;216;279;182;299;90;328
Oenothera macrocarpa;Halle;Oen_mac_Hal;2021;111;125;174;194;95;292;118;342;342;13;328;99;342
Origanum vulgare;Jena;Ori_vul_Jen;2021;76;76;195;209;60;244;49;13;293;13;258;95;293
Oxalis acetosella;Halle;Oxa_ace_Hal;2021;NA;NA;97;111;100;131;34;145;187;5;20;80;356
Paeonia daurica;Jena;Pae_dau_Jen;2021;83;NA;NA;NA;NA;NA;NA;NA;NA;139;230;90;258
Paeonia daurica;Halle;Pae_dau_Hal;2021;NA;125;153;153;70;153;1;222;287;201;292;98;314
Paeonia daurica subsp. mlokosewitschii;Jena;Pae_dau_mlo_Jen;2021;69;90;131;139;90;146;15;209;258;209;258;80;258
Paeonia daurica subsp. tomentosa;Halle;Pae_dau_tom_Hal;2021;76;97;131;NA;NA;131;1;216;236;174;244;95;307
Paeonia delavayi;Jena;Pae_del_Jen;2021;69;NA;146;153;50;153;7;13;258;13;13;95;335
Paeonia delavayi;Halle;Pae_del_Hal;2021;NA;NA;145;153;50;182;37;279;342;216;335;99;342
Paeonia officinalis;Jena;Pae_off_Jen;2021;NA;NA;139;139;80;153;14;209;230;188;251;60;266
