Plant_accepted_name,Plant_genus,Plant_family,Plant_order,Leipzig,Halle,Jena,Total_sampling_time
Pulmonaria mollis,Pulmonaria,Boraginaceae,Boraginales,0,37,0,37
Ranunculus bulbosus,Ranunculus,Ranunculaceae,Ranunculales,0,9,0,9
Ranunculus caucasicus,Ranunculus,Ranunculaceae,Ranunculales,0,3,0,3
Ranunculus ficaria,Ranunculus,Ranunculaceae,Ranunculales,3,3,3,9
Ranunculus lanuginosus,Ranunculus,Ranunculaceae,Ranunculales,0,3,0,3
Reseda alba,Reseda,Resedaceae,Brassicales,0,3,0,3
Reseda lutea,Reseda,Resedaceae,Brassicales,0,3,0,3
Reseda odorata,Reseda,Resedaceae,Brassicales,0,3,0,3
Rhododendron smirnowii,Rhododendron,Ericaceae,Ericales,0,3,0,3
Rosa foetida,Rosa,Rosaceae,Rosales,0,3,0,3
Rudbeckia laciniata,Rudbeckia,Asteraceae,Asterales,0,3,0,3
Salvia sclarea,Salvia,Lamiaceae,Lamiales,6,6,0,12
Satureja montana,Satureja,Lamiaceae,Lamiales,0,9,0,9
Scutellaria baicalensis,Scutellaria,Lamiaceae,Lamiales,0,3,0,3
Seseli gummiferum,Seseli,Apiaceae,Apiales,0,3,0,3
Silene chungtienensis,Silene,Caryophyllaceae,Caryophyllales,0,3,0,3
Sisymbrium officinale,Sisymbrium,Brassicaceae,Brassicales,0,3,0,3
Stachys byzantina,Stachys,Lamiaceae,Lamiales,9,3,0,12
Succisella inflexa,Succisella,Caprifoliaceae,Dipsacales,0,3,0,3
Symphytum officinale,Symphytum,Boraginaceae,Boraginales,12,3,3,18
Syringa tomentella,Syringa,Oleaceae,Lamiales,0,3,0,3
Tagetes erecta,Tagetes,Asteraceae,Asterales,0,3,0,3
Taraxacum officinale,Taraxacum,Asteraceae,Asterales,6,9,0,15
Teucrium scorodonia,Teucrium,Lamiaceae,Lamiales,0,3,0,3
Thalictrum flavum,Thalictrum,Ranunculaceae,Ranunculales,0,3,0,3
Thymus vulgaris,Thymus,Lamiaceae,Lamiales,0,3,0,3
Trifolium rubens,Trifolium,Fabaceae,Fabales,0,3,3,6
Valeriana phu,Valeriana,Caprifoliaceae,Dipsacales,0,3,0,3
Verbena rigida,Verbena,Verbenaceae,Lamiales,0,6,0,6
Wisteria sinensis,Wisteria,Fabaceae,Fabales,0,3,0,3
Zinnia elegans,Zinnia,Asteraceae,Asterales,0,6,0,6
Acantholimon ulicinum,Acantholimon,Plumbaginaceae,Caryophyllales,0,0,6,6
Agapanthus africanus,Agapanthus,Amaryllidaceae,Asparagales,0,0,3,3
Alkanna orientalis,Alkanna,Boraginaceae,Boraginales,0,0,9,9
Anemone ranunculoides,Anemone,Ranunculaceae,Ranunculales,0,0,3,3
Anthyllis vulneraria,Anthyllis,Fabaceae,Fabales,0,0,9,9
Bergenia ciliata,Bergenia,Saxifragaceae,Saxifragales,0,0,3,3
Betonica alopecuros,Betonica,Lamiaceae,Lamiales,0,0,3,3
Borago officinalis,Borago,Boraginaceae,Boraginales,0,0,3,3
Brassica oleracea,Brassica,Brassicaceae,Brassicales,0,0,3,3
Buddleja davidii,Buddleja,Scrophulariaceae,Lamiales,0,0,3,3
Campanula alliariifolia,Campanula,Campanulaceae,Asterales,3,0,6,9
