Plant_family,Pollinator_guild,SES,mean_trait_matching,median_trait_matching,sd_trait_matching,n_trait_pairs,n_plant_taxa,n_pollinator_taxa,Association
Hypericaceae,Coleoptera,-2.4049933516500106,3.448267373521523e-10,1.1305758067968948e-14,1.3730917384590832e-9,28,2,14,Avoidance
Hypericaceae,Colletidae,-4.29521512809707,1.093132390340171e-12,2.4987540983535495e-14,2.5653930563583096e-12,20,2,10,Avoidance
Hypericaceae,Halictidae,8.13939509302065,1.0670645823701077e-12,2.716868394320692e-14,3.3055326007535973e-12,46,2,23,Preference
Hypericaceae,Lepidoptera,-5.292581578217275,1.93560740254608e-12,1.345815013469117e-12,2.4337313301862075e-12,4,2,2,Avoidance
Hypericaceae,Megachilidae,-15.316848941837927,6.190075538284676e-11,1.7178701793790404e-13,2.1248417853002424e-10,56,2,28,Avoidance
Hypericaceae,Melittidae,-0.7488466205583438,5.8593342742860065e-12,2.1399442006973305e-12,7.602617531413244e-12,6,2,3,Avoidance
Hypericaceae,Non-bee Hymenoptera,-3.161803695293965,1.2029846366692142e-11,2.4257712469897567e-14,5.0193797296719985e-11,44,2,22,Avoidance
Hypericaceae,Other Diptera,-2.411811884645806,1.0896665401331467e-11,1.563425407236664e-14,6.210503373971611e-11,82,2,41,Avoidance
Hypericaceae,Syrphids,11.977213231190188,1.887737105090329e-10,4.4250842806955217e-14,7.016528497185742e-10,40,2,20,Preference
Lamiaceae,Andrenidae,-19.417952516915847,0.2235710384886259,0.1650978084899174,0.22211926673861987,90,6,15,Avoidance
Lamiaceae,Apidae,238.10506960843952,0.3963229541754054,0.3116658502129153,0.3482219922239851,180,6,30,Preference
Lamiaceae,Bombylids,-2.9942312514771388,0.455320323968286,0.42140330357900224,0.3709228836650823,30,6,5,Avoidance
Lamiaceae,Coleoptera,-17.67760724818733,0.23649674870366663,0.15118680034569024,0.2826923405132928,84,6,14,Avoidance
Lamiaceae,Colletidae,-207.0159701044563,0.15742359162384884,0.10654127053783617,0.17252773055366713,60,6,10,Avoidance
Lamiaceae,Halictidae,1.6993560165636106,0.15718940648909946,0.119481974114821,0.166687619771748,138,6,23,Avoidance
Lamiaceae,Lepidoptera,11.854188334758627,0.22875852527523077,0.18959757649808742,0.21910791415266384,12,6,2,Preference
Lamiaceae,Megachilidae,-6.529546832798173,0.3194265647532373,0.27273782534116,0.29503079602247406,168,6,28,Avoidance
Lamiaceae,Melittidae,-19.26949441497753,0.2742963030175599,0.22180616241186774,0.25338217762891313,18,6,3,Avoidance
Lamiaceae,Non-bee Hymenoptera,32.32616759519146,0.20969141957565485,0.1530578474713813,0.22162362917678183,132,6,22,Preference
Lamiaceae,Other Diptera,-54.929880170389474,0.1711585531314058,0.12103132896122437,0.19426406713831806,246,6,41,Avoidance
Lamiaceae,Syrphids,-42.62170167803726,0.2921339081683634,0.22014905769766913,0.30187579328651915,120,6,20,Avoidance
Onagraceae,Andrenidae,-2.17594981031925,3.61647076944036e-30,2.1933190043966558e-31,9.134237406672382e-30,15,1,15,Avoidance
Onagraceae,Apidae,16.35199836458911,6.853719253546274e-23,2.1913497725125086e-28,3.3275814404876675e-22,30,1,30,Preference
Onagraceae,Coleoptera,-0.5078215550622603,9.950215041205809e-27,2.569234328313289e-32,3.271887452800702e-26,14,1,14,Avoidance
Onagraceae,Colletidae,-6.28314476351329,3.1355094567991762e-31,2.9343836957535983e-33,5.341111033561847e-31,10,1,10,Avoidance
Onagraceae,Halictidae,-3.071606589806509,4.054354921276269e-31,5.2130763563274755e-33,1.0937277305017033e-30,23,1,23,Avoidance
Onagraceae,Lepidoptera,-1.3675175888294375,4.1368977978640435e-31,4.1368977978640435e-31,2.765239025170289e-31,2,1,2,Avoidance
Onagraceae,Megachilidae,-2.640632895440155,4.06309002561388e-28,6.972427490167328e-30,1.4988799529458893e-27,28,1,28,Avoidance
Onagraceae,Melittidae,-1.2385230701738468,2.699670755626428e-30,3.7967357658773785e-30,1.9356111230879886e-30,3,1,3,Avoidance
Onagraceae,Non-bee Hymenoptera,-2.8007975617945156,3.335853142485964e-29,5.03419417298982e-32,1.19647464107838e-28,22,1,22,Avoidance
Onagraceae,Other Diptera,-4.884936913110122,4.3607549017852464e-29,7.532613265401154e-33,1.9314723978588341e-28,41,1,41,Avoidance
Onagraceae,Syrphids,-1.06546628623484,3.1466583986256984e-27,6.64124491648197e-31,1.0769286269606444e-26,20,1,20,Avoidance
Paeoniaceae,Andrenidae,-0.7806696418374196,3.1702617391881465e-39,1.903890951743046e-304,1.5445432146797948e-38,45,3,15,Avoidance
Paeoniaceae,Apidae,6.525820611508821,9.328495069969636e-31,7.84111984127535e-295,8.104964065240685e-30,90,3,30,Preference
Paeoniaceae,Bombylids,-6.728861152024704,7.041982105182265e-36,2.2778833794704747e-293,1.9180169290732405e-35,15,3,5,Avoidance
Paeoniaceae,Coleoptera,8.193210148394845,3.00410342990132e-35,2.9439785654304173e-307,1.77828520153677e-34,42,3,14,Preference
Paeoniaceae,Halictidae,-1.6509188368466439,2.723339376376141e-40,1.63365290773867e-309,1.3692231163348953e-39,69,3,23,Avoidance
Paeoniaceae,Lepidoptera,-2.403542470786342,2.1850499392197127e-40,2.4842941902844628e-303,4.024273017837249e-40,6,3,2,Avoidance
Paeoniaceae,Megachilidae,-3.734402077372743,7.702630443140063e-37,1.1676372387364808e-299,5.413042235588827e-36,84,3,28,Avoidance
Paeoniaceae,Non-bee Hymenoptera,4.441755128279754,4.4873694345408525e-38,1.94171533379938e-306,2.921820630756437e-37,66,3,22,Avoidance
Paeoniaceae,Other Diptera,-0.9920332567134111,6.564346909977834e-38,5.104508639724896e-309,5.1174161547400876e-37,123,3,41,Avoidance
