Botanical_garden,Species,Number_unique_spp,Plant_height_mm,Info,Flower_number,Flower_inflorescence,Flower_width,Flower_length,Floral_tube_length,Floral_tube_width,Flower_colour,Symmetry,Flower_shape,Flower_orientation,Flowering_start,Flowering_end,Flower_life_start,Flower_life_end,Flower_life_span_days,Flower_life_span_days_ref,Pistil_number,Pistil_length,Style_length,Ovary_length,Stigma_length,Stamen_number,Stamen_length,Filament_length,Anther_length,Herkogamy_above,Herkogamy_length,Herkogamy_width,Ovule_number/flower,Ovule_number/floral_unit,Ovule_length,Ovule_width,Ovule_image,Ovule_ref
Jena,Fuchsia magellanica,62,680,Flower,267,4,30.32,35.15,29.45,4.27,pink,Actinomorphic,tubular,Downward,NA,NA,02/07/2023,07/07/2023,to_calculate,NA,1,61.35,49.04,10.87,3.06,8,18.05,15.56,2.49,stigma,NA,NA,NA,NA,0.5,0.3,NA,NA
Halle,Fuchsia magellanica,62,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Actinomorphic,tubular,Downward,NA,NA,02/07/2023,07/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stigma,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Hemerocallis fulva,63,1000,Flower,17,9,87.55,83.53,24.84,3.1,orange,Zygomorphic,tubular,Horizontal-Upward,14/06/2023,20/07/2023,02/07/2023,03/07/2023,to_calculate,NA,1,93.99,84.42,5.61,0.6,6,49.96,44.9,5.06,stigma,19.92,14.05,13,13,0.7,0.5,https://www.dropbox.com/scl/fi/a4t1t0jrp36dxwea5h1zw/HEFU.JPG?rlkey=ejvg5esc2cw585zru35sxj2np&dl=0,NA
Halle,Hemerocallis fulva,63,1100,Flower,14,7,95.35,71.05,23.92,3.3,orange,Zygomorphic,tubular,Horizontal-Upward,14/06/2023,20/07/2023,02/07/2023,03/07/2023,to_calculate,NA,1,91.29,85.28,5.27,0.63,6,51.43,46.02,5.41,stigma,20.84,4.89,NA,NA,0.9,0.6,NA,NA
Halle,Hemerocallis fulva,63,NA,Flower,NA,NA,NA,NA,NA,NA,NA,Zygomorphic,tubular,Horizontal-Upward,14/06/2023,20/07/2023,02/07/2023,03/07/2023,to_calculate,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Dianthus carthusianorum,64,630,Flower,256,16,15.08,17.55,17.55,2.54,pink,Actinomorphic,tubular,Upward,31/05/2023,NA,02/07/2023,06/07/2023,to_calculate,NA,1,20.84,14.69,4.87,1.2,10,16.88,15.32,1.56,stigma,1.68,1.62,55,55,0.5,0.3,https://www.dropbox.com/scl/fi/184u1drpw87ywxn04ou4q/DICA.JPG?rlkey=4uqt0a260j3oukhesvp6t4wcg&dl=0,NA
Halle,Dianthus carthusianorum,64,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Actinomorphic,tubular,Upward,31/05/2023,NA,02/07/2023,06/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,0.4,0.3,NA,NA
Halle,Dianthus carthusianorum,64,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Actinomorphic,tubular,Upward,31/05/2023,NA,02/07/2023,06/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Anthericum ramosum,65,590,Flower,660,48,21.76,5.54,0,21.76,white,Actinomorphic,dish,Horizontal-Downward,01/08/2023,NA,11/07/2023,12/07/2023,to_calculate,NA,1,15.07,10.9,3.25,0.5,6,7.2,5.76,1.44,stigma,3.8,0.5,15,15,0.4,0.2,https://www.dropbox.com/scl/fi/0m118o1yas2cajnxkq348/ANRA.JPG?rlkey=s31p119g7osjjzcmbalok5ovj&dl=0,NA
Leipzig,Anthericum ramosum,65,390,Flower,95,19,17.35,5.62,0,17.35,white,Actinomorphic,dish,Horizontal-Downward,01/08/2023,NA,11/07/2023,12/07/2023,to_calculate,NA,1,11.27,8.85,3.3,0.5,6,8.14,6.41,1.73,stigma,2.62,0,13,13,0.4,0.2,NA,NA
Leipzig,Anthericum ramosum,65,600,Flower,288,17,22.40,5.47,0,22.40,white,Actinomorphic,dish,Horizontal-Downward,01/08/2023,NA,11/07/2023,12/07/2023,to_calculate,NA,1,13.86,10.79,2.04,0.6,6,10,8.83,1.17,stigma,2.66,2,15,15,0.4,0.2,NA,NA
Halle,Saponaria officinalis,66,530,Flower,250,27,26.44,26.86,26.86,1.46,pink,Actinomorphic,tubular,Horizontal,Check!,NA,02/07/2023,06/07/2023,to_calculate,NA,1,20.68,11.64,9.63,0.3,10,28.50,26.71,1.79,anther,2.75,0.5,64,64,0.5,0.4,https://www.dropbox.com/scl/fi/vdsf3z7eky0hthg5wihkz/SAOF_1.JPG?rlkey=ru83xradk8n6fjjbilrxkz9je&dl=0,NA
Halle,Saponaria officinalis,66,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Actinomorphic,tubular,Horizontal,Check!,NA,02/07/2023,07/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,NA,NA,NA,NA
Halle,Saponaria officinalis,66,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Actinomorphic,tubular,Horizontal,Check!,NA,02/07/2023,06/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
