Garden,Date,Doy,Species,Initial vegetative growth,Young leaves unfolding,Flowers opening,Flowering intensity,Ripe fruits,Senescence,Senescence intensity,Maintenance,Remarks
Halle,16.02.2023,47,Leucojum vernum,no,y,no,,no,no,,,
Halle,16.02.2023,47,Crocus speciosus,no,y,no,,no,no,,,
Halle,16.02.2023,47,Fragaria vesca,no,y,no,,no,y,25,,
Halle,16.02.2023,47,Leucojum aestivum,no,y,no,,no,no,,,
Halle,16.02.2023,47,Galanthus ikariae,no,y,y,80,no,no,,,
Halle,16.02.2023,47,Colchicum autumnale,no,y,no,,no,no,,,
Halle,16.02.2023,47,Galanthus plicatus,no,y,no,,no,no,,,
Halle,28.02.2023,59,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,28.02.2023,59,Lathyrus vernus,no,y,no,,no,no,,,
Halle,28.02.2023,59,Trollius europaeus,no,no,no,,no,no,,,
Halle,28.02.2023,59,Anemone hupenhensis,no,no,no,,no,no,,,
Halle,28.02.2023,59,Carex sylvatica,no,y,no,,no,y,40,,
Halle,28.02.2023,59,Anemone nemorosa,no,no,no,,no,no,,,
Halle,28.02.2023,59,Corydalis solida,no,no,no,,no,no,,,
Halle,28.02.2023,59,Hepatica transsilvanica,no,no,no,,no,y,40,,
Halle,28.02.2023,59,Arum italicum,no,y,no,,no,no,,,
Halle,28.02.2023,59,Hepatica nobilis,no,no,y,5,no,y,55,,one flower
Halle,28.02.2023,59,Asarum europaeum,no,y,no,,no,y,25,,
Halle,28.02.2023,59,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,28.02.2023,59,Convallaria majalis,no,no,no,,no,no,,,
Halle,28.02.2023,59,Leucojum vernum,no,y,y,100,no,no,,,
Halle,28.02.2023,59,Crocus speciosus,no,y,no,,no,no,,,
Halle,28.02.2023,59,Fragaria vesca,no,y,no,,no,y,25,,
Halle,28.02.2023,59,Leucojum aestivum,no,y,no,,no,no,,,
Halle,28.02.2023,59,Galanthus ikariae,no,no,y,100,no,no,,,
Halle,28.02.2023,59,Colchicum autumnale,no,y,no,,no,no,,,
Halle,28.02.2023,59,Galanthus plicatus,no,y,y,95,no,no,,,
Halle,10.03.2023,69,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,10.03.2023,69,Lathyrus vernus,no,y,no,,no,no,,,
Halle,10.03.2023,69,Trollius europaeus,no,no,no,,no,no,,,
